Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-1.16560E-009,48.25300E-003,20.00000E+000,1.92920E-009,48.25300E-003
1,1,2,-60.00000E+000,-563.40000E-012,125.15200E-003,18.00000E+000,1.01790E-009,125.15200E-003
1,1,3,-60.00000E+000,-340.70000E-012,199.57200E-003,16.00000E+000,-463.20000E-012,199.57200E-003
1,1,4,-60.00000E+000,-11.92410E-009,248.10500E-003,13.99999E+000,-4.23780E-009,248.10500E-003
1,1,5,-60.00000E+000,-123.32700E-009,308.68200E-003,12.00000E+000,-23.60000E-012,308.68200E-003
1,1,6,-60.00000E+000,-504.13500E-009,366.22700E-003,10.00000E+000,-449.50000E-012,366.22700E-003
1,1,7,-60.00000E+000,-1.44757E-006,424.79300E-003,7.99999E+000,-865.70000E-012,424.79300E-003
1,1,8,-60.00000E+000,-3.34062E-006,476.15500E-003,6.00000E+000,-1.04730E-009,476.15500E-003
1,1,9,-60.00000E+000,-6.65904E-006,524.38700E-003,3.99999E+000,-1.02820E-009,524.38700E-003
1,1,10,-60.00000E+000,-11.80890E-006,599.79100E-003,2.00000E+000,-837.00000E-012,599.79100E-003
1,1,11,-60.00000E+000,-18.56500E-006,650.51800E-003,-13.00000E-006,-2.68970E-009,650.51800E-003
1,1,12,-60.00000E+000,-25.04120E-006,699.14600E-003,-2.00001E+000,-2.15730E-009,699.14600E-003
1,1,13,-60.00000E+000,-30.34100E-006,750.42900E-003,-4.00001E+000,-9.28780E-009,750.42900E-003
1,1,14,-60.00000E+000,-34.92990E-006,799.03900E-003,-6.00002E+000,-43.67020E-009,799.03900E-003
1,1,15,-60.00000E+000,-39.25440E-006,835.13200E-003,-8.00003E+000,-116.10400E-009,835.13200E-003
1,1,16,-60.00000E+000,-43.51090E-006,849.70800E-003,-10.00002E+000,-341.72100E-009,849.70800E-003
1,1,17,-60.00000E+000,-47.66390E-006,864.71300E-003,-11.99998E+000,-475.10200E-009,864.71300E-003
1,1,18,-60.00000E+000,-51.74370E-006,881.25700E-003,-13.99997E+000,-624.18300E-009,881.25700E-003
1,1,19,-60.00000E+000,-55.80840E-006,895.88400E-003,-16.00001E+000,-911.95000E-009,895.88400E-003
1,1,20,-60.00000E+000,-59.83680E-006,910.00600E-003,-18.00000E+000,-1.30147E-006,910.00600E-003
1,1,21,-60.00000E+000,-63.83630E-006,924.09500E-003,-20.00000E+000,-1.60919E-006,924.09500E-003
1,1,22,-60.00000E+000,-67.77850E-006,939.24800E-003,-22.00000E+000,-1.98174E-006,939.24800E-003
1,1,23,-60.00000E+000,-71.92330E-006,945.73800E-003,-24.00000E+000,-2.57420E-006,945.73800E-003
1,1,24,-60.00000E+000,-75.83380E-006,959.67300E-003,-26.00000E+000,-3.00568E-006,959.67300E-003
1,1,25,-60.00000E+000,-79.75640E-006,974.22000E-003,-28.00000E+000,-3.64778E-006,974.22000E-003
1,1,26,-60.00000E+000,-83.69850E-006,988.12500E-003,-30.00000E+000,-4.35292E-006,988.12500E-003
1,1,27,-60.00000E+000,-87.63330E-006,1.00227E+000,-32.00000E+000,-4.96099E-006,1.00227E+000
1,1,28,-60.00000E+000,-91.55130E-006,1.01740E+000,-34.00000E+000,-5.68985E-006,1.01740E+000
1,1,29,-60.00000E+000,-95.44870E-006,1.03287E+000,-36.00000E+000,-6.53657E-006,1.03287E+000
1,1,30,-60.00000E+000,-99.36860E-006,1.04782E+000,-38.00000E+000,-7.39507E-006,1.04782E+000
1,1,31,-60.00000E+000,-103.22980E-006,1.06408E+000,-40.00000E+000,-8.20001E-006,1.06408E+000
1,1,32,-60.00000E+000,-105.95200E-006,1.12012E+000,-42.00000E+000,-8.96361E-006,1.12012E+000
1,1,33,-60.00000E+000,-110.10900E-006,1.13278E+000,-44.00000E+000,-10.06080E-006,1.13278E+000
1,1,34,-60.00000E+000,-114.49100E-006,1.13875E+000,-46.00000E+000,-11.07330E-006,1.13875E+000
1,1,35,-60.00000E+000,-118.82200E-006,1.14496E+000,-48.00000E+000,-12.27080E-006,1.14496E+000
1,1,36,-60.00000E+000,-123.07900E-006,1.15179E+000,-50.00000E+000,-13.46570E-006,1.15179E+000
1,1,37,-60.00000E+000,-127.36800E-006,1.15778E+000,-52.00000E+000,-14.60270E-006,1.15778E+000
1,1,38,-60.00000E+000,-131.60200E-006,1.16396E+000,-54.00000E+000,-15.94560E-006,1.16396E+000
1,1,39,-60.00000E+000,-135.79300E-006,1.17013E+000,-56.00000E+000,-17.40420E-006,1.17013E+000
1,1,40,-60.00000E+000,-139.90000E-006,1.17663E+000,-58.00000E+000,-18.69960E-006,1.17663E+000
1,1,41,-60.00000E+000,-143.88600E-006,1.18294E+000,-60.00000E+000,-20.51970E-006,1.18294E+000
1,1,42,-60.00000E+000,-143.03900E-006,1.18912E+000,-60.00000E+000,-20.53080E-006,1.18912E+000
1,1,43,-60.00000E+000,-137.35800E-006,1.19768E+000,-58.00000E+000,-18.70770E-006,1.19768E+000
1,1,44,-60.00000E+000,-132.14900E-006,1.20431E+000,-56.00000E+000,-17.15900E-006,1.20431E+000
1,1,45,-60.00000E+000,-127.15700E-006,1.21023E+000,-54.00000E+000,-15.75920E-006,1.21023E+000
1,1,46,-60.00000E+000,-122.33800E-006,1.21653E+000,-52.00000E+000,-14.30290E-006,1.21653E+000
1,1,47,-60.00000E+000,-117.63000E-006,1.22253E+000,-50.00000E+000,-12.99790E-006,1.22253E+000
1,1,48,-60.00000E+000,-113.04500E-006,1.22930E+000,-48.00000E+000,-11.86720E-006,1.22930E+000
1,1,49,-60.00000E+000,-108.53200E-006,1.23531E+000,-46.00000E+000,-10.62920E-006,1.23531E+000
1,1,50,-60.00000E+000,-104.10800E-006,1.24158E+000,-44.00000E+000,-9.51100E-006,1.24158E+000
