Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-791.20000E-012,49.07000E-003,20.00000E+000,1.12440E-009,49.07000E-003
1,1,2,-60.00000E+000,-507.70000E-012,122.88800E-003,18.00000E+000,621.00000E-012,122.88800E-003
1,1,3,-60.00000E+000,-405.90000E-012,197.01700E-003,16.00000E+000,435.60000E-012,197.01700E-003
1,1,4,-60.00000E+000,-363.20000E-012,270.33300E-003,14.00000E+000,48.40000E-012,270.33300E-003
1,1,5,-60.00000E+000,-14.71070E-009,342.56500E-003,12.00000E+000,38.50000E-012,342.56500E-003
1,1,6,-60.00000E+000,-147.08200E-009,404.72900E-003,10.00000E+000,-68.80000E-012,404.72900E-003
1,1,7,-60.00000E+000,-535.04100E-009,465.56600E-003,8.00000E+000,-489.20000E-012,465.56600E-003
1,1,8,-60.00000E+000,-1.34184E-006,521.43300E-003,6.00000E+000,-573.80000E-012,521.43300E-003
1,1,9,-60.00000E+000,-2.78143E-006,570.07100E-003,3.99999E+000,-860.70000E-012,570.07100E-003
1,1,10,-60.00000E+000,-4.96971E-006,639.19600E-003,2.00000E+000,-431.50000E-012,639.19600E-003
1,1,11,-60.00000E+000,-7.84500E-006,688.85700E-003,-7.40000E-006,-1.63360E-009,688.85700E-003
1,1,12,-60.00000E+000,-11.07480E-006,742.67500E-003,-2.00000E+000,-546.20000E-012,742.67500E-003
1,1,13,-60.00000E+000,-14.35950E-006,795.65400E-003,-4.00000E+000,-492.10000E-012,795.65400E-003
1,1,14,-60.00000E+000,-17.59650E-006,844.14800E-003,-6.00001E+000,-317.80000E-012,844.14800E-003
1,1,15,-60.00000E+000,-20.77480E-006,894.95800E-003,-8.00001E+000,-322.00000E-012,894.95800E-003
1,1,16,-60.00000E+000,-23.92130E-006,943.23800E-003,-10.00001E+000,-492.30000E-012,943.23800E-003
1,1,17,-60.00000E+000,-27.06190E-006,991.70300E-003,-12.00000E+000,-321.40000E-012,991.70300E-003
1,1,18,-60.00000E+000,-30.20280E-006,1.04302E+000,-14.00000E+000,-318.90000E-012,1.04302E+000
1,1,19,-60.00000E+000,-33.26900E-006,1.12471E+000,-16.00000E+000,-275.50000E-012,1.12471E+000
1,1,20,-60.00000E+000,-36.46410E-006,1.17418E+000,-18.00000E+000,-359.50000E-012,1.17418E+000
1,1,21,-60.00000E+000,-39.62680E-006,1.22452E+000,-20.00000E+000,-460.20000E-012,1.22452E+000
1,1,22,-60.00000E+000,-42.86300E-006,1.25767E+000,-22.00000E+000,10.89000E-009,1.25767E+000
1,1,23,-60.00000E+000,-46.03050E-006,1.28556E+000,-24.00000E+000,-690.90000E-012,1.28556E+000
1,1,24,-60.00000E+000,-49.14490E-006,1.33401E+000,-26.00000E+000,-703.90000E-012,1.33401E+000
1,1,25,-60.00000E+000,-52.23560E-006,1.38471E+000,-28.00000E+000,-838.00000E-012,1.38471E+000
1,1,26,-60.00000E+000,-55.34040E-006,1.43394E+000,-30.00000E+000,-1.26770E-009,1.43394E+000
1,1,27,-60.00000E+000,-58.42500E-006,1.48325E+000,-32.00010E+000,-1.38690E-009,1.48325E+000
1,1,28,-60.00000E+000,-61.49780E-006,1.53304E+000,-34.00000E+000,-929.70000E-012,1.53304E+000
1,1,29,-60.00000E+000,-64.65170E-006,1.57055E+000,-36.00000E+000,-55.80000E-009,1.57055E+000
1,1,30,-60.00000E+000,-67.50840E-006,1.63727E+000,-38.00000E+000,-1.00040E-009,1.63727E+000
1,1,31,-60.00000E+000,-70.56840E-006,1.68715E+000,-40.00000E+000,-1.21080E-009,1.68715E+000
1,1,32,-60.00000E+000,-73.58210E-006,1.73917E+000,-42.00000E+000,-1.24920E-009,1.73917E+000
