Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-670.90000E-012,48.65100E-003,20.00000E+000,881.90000E-012,48.65100E-003
1,1,2,-60.00000E+000,-444.60000E-012,123.00300E-003,18.00000E+000,325.30000E-012,123.00300E-003
1,1,3,-60.00000E+000,-593.40000E-012,195.19100E-003,15.99999E+000,-36.70000E-012,195.19100E-003
1,1,4,-60.00000E+000,-1.40170E-009,270.18400E-003,14.00000E+000,-524.70000E-012,270.18400E-003
1,1,5,-60.00000E+000,-8.54210E-009,342.77100E-003,12.00000E+000,-176.60000E-012,342.77100E-003
1,1,6,-60.00000E+000,-41.72630E-009,416.51300E-003,10.00000E+000,-351.30000E-012,416.51300E-003
1,1,7,-60.00000E+000,-196.19500E-009,479.51100E-003,8.00000E+000,-399.60000E-012,479.51100E-003
1,1,8,-60.00000E+000,-797.56600E-009,538.67700E-003,6.00000E+000,-247.60000E-012,538.67700E-003
1,1,9,-60.00000E+000,-2.20294E-006,633.44900E-003,4.00000E+000,-62.00000E-012,633.44900E-003
1,1,10,-60.00000E+000,-4.51743E-006,684.89600E-003,2.00000E+000,-601.20000E-012,684.89600E-003
1,1,11,-60.00000E+000,-7.47473E-006,734.38500E-003,-4.00000E-006,-646.00000E-012,734.38500E-003
1,1,12,-60.00000E+000,-10.74070E-006,791.64500E-003,-2.00000E+000,-613.70000E-012,791.64500E-003
1,1,13,-60.00000E+000,-14.19150E-006,840.90600E-003,-4.00001E+000,-607.50000E-012,840.90600E-003
1,1,14,-60.00000E+000,-17.76840E-006,891.55200E-003,-6.00001E+000,-447.00000E-012,891.55200E-003
1,1,15,-60.00000E+000,-21.50940E-006,940.05600E-003,-8.00001E+000,-518.10000E-012,940.05600E-003
1,1,16,-60.00000E+000,-25.37530E-006,989.15600E-003,-10.00001E+000,-1.10320E-009,989.15600E-003
1,1,17,-60.00000E+000,-29.37600E-006,1.04099E+000,-12.00000E+000,-331.90000E-012,1.04099E+000
1,1,18,-60.00000E+000,-33.42730E-006,1.11359E+000,-14.00000E+000,-256.70000E-012,1.11359E+000
1,1,19,-60.00000E+000,-37.66520E-006,1.16241E+000,-16.00000E+000,-259.30000E-012,1.16241E+000
1,1,20,-60.00000E+000,-41.96220E-006,1.21448E+000,-18.00000E+000,-268.70000E-012,1.21448E+000
1,1,21,-60.00000E+000,-46.32560E-006,1.26516E+000,-20.00000E+000,-245.90000E-012,1.26516E+000
1,1,22,-60.00000E+000,-50.81740E-006,1.29886E+000,-22.00000E+000,20.39000E-009,1.29886E+000
1,1,23,-60.00000E+000,-55.27350E-006,1.32571E+000,-24.00000E+000,-450.00000E-012,1.32571E+000
1,1,24,-60.00000E+000,-59.69180E-006,1.37677E+000,-26.00000E+000,-807.70000E-012,1.37677E+000
1,1,25,-60.00000E+000,-64.12150E-006,1.42779E+000,-28.00000E+000,-476.60000E-012,1.42779E+000
1,1,26,-60.00000E+000,-68.58910E-006,1.47630E+000,-30.00000E+000,-469.30000E-012,1.47630E+000
1,1,27,-60.00000E+000,-73.01130E-006,1.52848E+000,-32.00000E+000,-388.80000E-012,1.52848E+000
1,1,28,-60.00000E+000,-77.46670E-006,1.57747E+000,-34.00000E+000,-452.60000E-012,1.57747E+000
1,1,29,-60.00000E+000,-81.82460E-006,1.64015E+000,-36.00000E+000,-409.00000E-012,1.64015E+000
1,1,30,-60.00000E+000,-86.24760E-006,1.69014E+000,-38.00000E+000,-576.10000E-012,1.69014E+000
1,1,31,-60.00000E+000,-90.64290E-006,1.74249E+000,-40.00000E+000,-510.80000E-012,1.74249E+000
1,1,32,-60.00000E+000,-95.02880E-006,1.79340E+000,-42.00000E+000,-650.20000E-012,1.79340E+000
1,1,33,-60.00000E+000,-99.37280E-006,1.84595E+000,-44.00000E+000,-681.00000E-012,1.84595E+000
1,1,34,-60.00000E+000,-103.74390E-006,1.89469E+000,-46.00000E+000,-766.80000E-012,1.89469E+000
1,1,35,-60.00000E+000,-108.24300E-006,1.93639E+000,-48.00000E+000,-12.69400E-009,1.93639E+000
1,1,36,-60.00000E+000,-112.67400E-006,1.96720E+000,-50.00000E+000,-921.30000E-012,1.96720E+000
1,1,37,-60.00000E+000,-116.84800E-006,2.01833E+000,-52.00000E+000,-1.05780E-009,2.01833E+000
1,1,38,-60.00000E+000,-121.01100E-006,2.06825E+000,-54.00000E+000,-1.09830E-009,2.06825E+000
1,1,39,-60.00000E+000,-124.76000E-006,2.14541E+000,-56.00000E+000,-1.19160E-009,2.14541E+000
1,1,40,-60.00000E+000,-128.90800E-006,2.19528E+000,-58.00000E+000,-1.32700E-009,2.19528E+000
