Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-2.03980E-009,48.00600E-003,20.00000E+000,1.17380E-009,48.00600E-003
1,1,2,-60.00000E+000,-950.70000E-012,124.52500E-003,18.00000E+000,-5.77500E-009,124.52500E-003
1,1,3,-60.00000E+000,-61.23350E-009,172.86100E-003,15.99999E+000,-571.20000E-012,172.86100E-003
1,1,4,-60.00000E+000,-276.09700E-009,237.67500E-003,14.00000E+000,-306.70000E-012,237.67500E-003
1,1,5,-60.00000E+000,-843.34000E-009,294.33200E-003,12.00000E+000,-430.70000E-012,294.33200E-003
1,1,6,-60.00000E+000,-2.11059E-006,346.51700E-003,10.00000E+000,-1.14440E-009,346.51700E-003
1,1,7,-60.00000E+000,-4.65173E-006,394.80100E-003,7.99999E+000,-2.97290E-009,394.80100E-003
1,1,8,-60.00000E+000,-9.19936E-006,445.57000E-003,5.99998E+000,-5.10350E-009,445.57000E-003
1,1,9,-60.00000E+000,-15.41460E-006,500.03500E-003,3.99999E+000,-3.67840E-009,500.03500E-003
1,1,10,-60.00000E+000,-21.48750E-006,551.37200E-003,1.99999E+000,-2.27100E-009,551.37200E-003
1,1,11,-60.00000E+000,-26.31550E-006,635.11100E-003,-200.00000E-009,-1.14780E-009,635.11100E-003
1,1,12,-60.00000E+000,-30.61410E-006,685.48600E-003,-2.00001E+000,-3.26570E-009,685.48600E-003
1,1,13,-60.00000E+000,-34.55720E-006,736.62500E-003,-4.00002E+000,-3.23270E-009,736.62500E-003
1,1,14,-60.00000E+000,-38.43190E-006,787.76800E-003,-6.00001E+000,-1.34340E-009,787.76800E-003
1,1,15,-60.00000E+000,-42.33280E-006,836.16400E-003,-8.00001E+000,-990.60000E-012,836.16400E-003
1,1,16,-60.00000E+000,-46.28770E-006,888.04700E-003,-10.00000E+000,-4.16260E-009,888.04700E-003
1,1,17,-60.00000E+000,-50.41210E-006,923.63300E-003,-12.00002E+000,-36.95900E-009,923.63300E-003
1,1,18,-60.00000E+000,-54.69720E-006,939.31800E-003,-14.00001E+000,-113.95400E-009,939.31800E-003
1,1,19,-60.00000E+000,-59.03550E-006,955.23500E-003,-15.99997E+000,-115.72800E-009,955.23500E-003
1,1,20,-60.00000E+000,-63.42970E-006,969.50600E-003,-17.99999E+000,-103.69500E-009,969.50600E-003
1,1,21,-60.00000E+000,-67.80880E-006,985.95200E-003,-20.00004E+000,-198.04800E-009,985.95200E-003
1,1,22,-60.00000E+000,-72.26460E-006,996.02800E-003,-22.00000E+000,-348.24000E-009,996.02800E-003
1,1,23,-60.00000E+000,-76.62250E-006,1.01097E+000,-24.00000E+000,-329.40500E-009,1.01097E+000
1,1,24,-60.00000E+000,-80.97660E-006,1.02661E+000,-26.00010E+000,-437.45000E-009,1.02661E+000
1,1,25,-60.00000E+000,-85.30060E-006,1.04334E+000,-28.00000E+000,-594.69600E-009,1.04334E+000
1,1,26,-60.00000E+000,-89.64470E-006,1.05931E+000,-30.00000E+000,-745.74800E-009,1.05931E+000
1,1,27,-60.00000E+000,-94.00660E-006,1.07443E+000,-32.00000E+000,-814.70100E-009,1.07443E+000
1,1,28,-60.00000E+000,-97.64920E-006,1.12645E+000,-34.00000E+000,-895.37000E-009,1.12645E+000
1,1,29,-60.00000E+000,-102.11350E-006,1.14059E+000,-36.00000E+000,-1.13522E-006,1.14059E+000
1,1,30,-60.00000E+000,-106.52600E-006,1.15770E+000,-38.00000E+000,-1.27724E-006,1.15770E+000
1,1,31,-60.00000E+000,-110.92500E-006,1.17249E+000,-40.00000E+000,-1.35123E-006,1.17249E+000
1,1,32,-60.00000E+000,-115.31700E-006,1.18680E+000,-42.00000E+000,-1.50769E-006,1.18680E+000
1,1,33,-60.00000E+000,-119.57900E-006,1.20351E+000,-44.00000E+000,-1.73967E-006,1.20351E+000
1,1,34,-60.00000E+000,-123.92800E-006,1.21805E+000,-46.00000E+000,-1.97231E-006,1.21805E+000
1,1,35,-60.00000E+000,-128.25000E-006,1.23235E+000,-48.00000E+000,-2.09258E-006,1.23235E+000
1,1,36,-60.00000E+000,-132.45500E-006,1.24800E+000,-50.00000E+000,-2.26758E-006,1.24800E+000
1,1,37,-60.00000E+000,-136.63000E-006,1.26361E+000,-52.00000E+000,-2.55490E-006,1.26361E+000
1,1,38,-60.00000E+000,-140.82700E-006,1.27822E+000,-54.00000E+000,-2.83245E-006,1.27822E+000
1,1,39,-60.00000E+000,-144.90800E-006,1.29356E+000,-56.00000E+000,-3.00224E-006,1.29356E+000
1,1,40,-60.00000E+000,-148.92100E-006,1.30902E+000,-58.00000E+000,-3.19730E-006,1.30902E+000
1,1,41,-60.00000E+000,-152.98200E-006,1.32316E+000,-60.00000E+000,-3.53644E-006,1.32316E+000
1,1,42,-60.00000E+000,-152.40500E-006,1.32973E+000,-60.00000E+000,-3.45566E-006,1.32973E+000
1,1,43,-60.00000E+000,-146.12800E-006,1.34503E+000,-58.00000E+000,-3.19298E-006,1.34503E+000
1,1,44,-60.00000E+000,-140.24700E-006,1.36206E+000,-56.00000E+000,-2.96942E-006,1.36206E+000
1,1,45,-60.00000E+000,-134.69500E-006,1.37767E+000,-54.00000E+000,-2.72406E-006,1.37767E+000
1,1,46,-60.00000E+000,-129.37000E-006,1.39186E+000,-52.00000E+000,-2.38288E-006,1.39186E+000
1,1,47,-60.00000E+000,-124.20100E-006,1.40736E+000,-50.00000E+000,-2.14735E-006,1.40736E+000
1,1,48,-60.00000E+000,-119.15600E-006,1.42316E+000,-48.00000E+000,-2.00199E-006,1.42316E+000
1,1,49,-60.00000E+000,-114.22300E-006,1.43831E+000,-46.00000E+000,-1.83647E-006,1.43831E+000
